latitude,longitude,area_statistics-population_density_score,area_statistics-square_meters,area_statistics-population,area_statistics-housing_units,area_statistics-metro-id,area_statistics-metro-name,area_statistics-metro-type,area_statistics-commercial_residential-residential,area_statistics-commercial_residential-business,area_statistics-commercial_residential-unknown,income-median_income-amount,income-median_income-score-national,income-median_income-score-state,income-median_income-score-county,housing-median_rent-amount,housing-median_rent-score-national,housing-median_rent-score-state,housing-median_rent-score-county,housing-median_home_value-amount,housing-median_home_value-score-national,housing-median_home_value-score-state,housing-median_home_value-score-county,housing-household_type-married_couple_family,housing-household_type-male_householder,housing-household_type-female_householder,housing-household_type-householder_living_alone,housing-household_type-householder_not_living_alone,education-level_attained-male-less_than_high_school,education-level_attained-male-high_school_or_ged,education-level_attained-male-some_college,education-level_attained-male-associates_degree,education-level_attained-male-bachelors_degree,education-level_attained-male-masters_degree,education-level_attained-male-professional_degree,education-level_attained-male-doctorate_degree,education-level_attained-female-less_than_high_school,education-level_attained-female-high_school_or_ged,education-level_attained-female-some_college,education-level_attained-female-associates_degree,education-level_attained-female-bachelors_degree,education-level_attained-female-masters_degree,education-level_attained-female-professional_degree,education-level_attained-female-doctorate_degree,race_and_ethnicity-origin-hispanic_or_latino,race_and_ethnicity-race-white,race_and_ethnicity-race-black_or_african_american,race_and_ethnicity-race-american_indian_and_alaska_native,race_and_ethnicity-race-asian,race_and_ethnicity-race-native_hawaiian_and_other_pacific_islander,race_and_ethnicity-race-some_other_race,race_and_ethnicity-race-two_or_more_races,age_and_sex-male,age_and_sex-female,age_and_sex-median_age-male,age_and_sex-median_age-female,age_and_sex-age_ranges_by_sex-male-20,age_and_sex-age_ranges_by_sex-male-21,age_and_sex-age_ranges_by_sex-male-under_5,age_and_sex-age_ranges_by_sex-male-5_to_9,age_and_sex-age_ranges_by_sex-male-10_to_14,age_and_sex-age_ranges_by_sex-male-15_to_17,age_and_sex-age_ranges_by_sex-male-18_and_19,age_and_sex-age_ranges_by_sex-male-22_to_24,age_and_sex-age_ranges_by_sex-male-25_to_29,age_and_sex-age_ranges_by_sex-male-30_to_34,age_and_sex-age_ranges_by_sex-male-35_to_39,age_and_sex-age_ranges_by_sex-male-40_to_44,age_and_sex-age_ranges_by_sex-male-45_to_49,age_and_sex-age_ranges_by_sex-male-50_to_54,age_and_sex-age_ranges_by_sex-male-55_to_59,age_and_sex-age_ranges_by_sex-male-60_and_61,age_and_sex-age_ranges_by_sex-male-62_to_64,age_and_sex-age_ranges_by_sex-male-65_and_66,age_and_sex-age_ranges_by_sex-male-67_to_69,age_and_sex-age_ranges_by_sex-male-70_to_74,age_and_sex-age_ranges_by_sex-male-75_to_79,age_and_sex-age_ranges_by_sex-male-80_to_84,age_and_sex-age_ranges_by_sex-male-85_years_and_over,age_and_sex-age_ranges_by_sex-female-20,age_and_sex-age_ranges_by_sex-female-21,age_and_sex-age_ranges_by_sex-female-under_5,age_and_sex-age_ranges_by_sex-female-5_to_9,age_and_sex-age_ranges_by_sex-female-10_to_14,age_and_sex-age_ranges_by_sex-female-15_to_17,age_and_sex-age_ranges_by_sex-female-18_and_19,age_and_sex-age_ranges_by_sex-female-22_to_24,age_and_sex-age_ranges_by_sex-female-25_to_29,age_and_sex-age_ranges_by_sex-female-30_to_34,age_and_sex-age_ranges_by_sex-female-35_to_39,age_and_sex-age_ranges_by_sex-female-40_to_44,age_and_sex-age_ranges_by_sex-female-45_to_49,age_and_sex-age_ranges_by_sex-female-50_to_54,age_and_sex-age_ranges_by_sex-female-55_to_59,age_and_sex-age_ranges_by_sex-female-60_and_61,age_and_sex-age_ranges_by_sex-female-62_to_64,age_and_sex-age_ranges_by_sex-female-65_and_66,age_and_sex-age_ranges_by_sex-female-67_to_69,age_and_sex-age_ranges_by_sex-female-70_to_74,age_and_sex-age_ranges_by_sex-female-75_to_79,age_and_sex-age_ranges_by_sex-female-80_to_84,age_and_sex-age_ranges_by_sex-female-85_years_and_over
36.27899999999935,-96,23,10284453.8,1149,95,46140,,,68.8,0.5,30.8,41953,36,51,41,642,23,45,20,62300,7,19,11,43.8,10.5,13.8,26.3,5.6,19.4,56.8,10.6,1.1,11.1,1.1,0,0,12.7,42.4,23.9,14.2,6.7,0,0,0,3.5,81.9,0,10,0.5,0,0,7.6,51.7,48.3,33.2,34.5,2.2,2.9,6.7,3.5,11.6,7.1,0.7,1.9,10.9,5.2,12.3,8.1,4.5,6.2,3.2,2.4,1,2,1.3,0.8,3.4,1.3,0.7,1.8,1.6,9.4,8.6,3.8,7.9,1.8,5.6,8.8,1.3,7.4,7.7,6.1,4.3,5,2.2,0.5,3.2,2.5,4.7,3.6,0.4,1.6
36.31899999999926,-96,15,34044612.9,1367,59,46140,,,86.1,2.3,11.6,60054,64,81,69,581,16,32,11,92300,20,51,28,59.7,0,9.6,29.7,0.9,9.1,36,26.8,5.2,20.7,2.2,0,0,15.1,30.6,32,10,10,2.3,0,0,2.8,83,0,11.3,0,0,0,5.6,53.1,46.9,42,41.4,2.5,0.6,0,7.7,10.2,0.6,0,4,11.6,3.7,8,3.4,16.4,7.3,7.4,0,3.4,0.6,4,7,0.6,1.1,0,1.4,0.6,5.3,6.4,3.9,9.4,3.1,2.7,7.6,5.1,2.5,6.9,8.1,9.4,5.3,2.3,4.1,1.6,3.3,6.6,1.6,1.2,1.7
36.33499999999922,-96,27,11053901.3,2122,59,46140,,,83.1,9,7.9,29955,16,21,17,787,39,67,45,70000,10,27,15,50.1,4.2,6.5,28.7,10.5,35.1,34.8,14.9,10.3,3,1.7,0,0,19.6,41.4,18.1,8.2,9.4,3.4,0,0,0,75.5,0,14.5,0,0,0,9.9,53.4,46.6,30.6,30.4,0,0,9.6,7.7,10.6,2.9,4.1,9.5,4,6.4,4.7,15.4,8.6,1.7,2.6,2.5,2.4,0,0,5.6,0,1.6,0,3.6,0,14.7,1,4.9,3.9,4,7.5,8.7,9.2,2.6,11.5,5.2,2.2,2.6,0,5.1,0,6.6,1.8,3,0.8,1
36.39899999999907,-96,10,58912717.3,1156,38,12780,,,89.1,0.7,10.2,72600,77,90,80,166200,49,88,74,90,93,96,81.2,0,0,10,8.8,12.9,30.4,21.6,21.9,4.9,5.5,0,2.7,9.8,29.9,36.8,9.1,9.3,2.4,2.6,0,6.7,88.2,0,6.8,0.6,0,2.1,2.2,45.9,54.1,42.4,47.4,0,0,9.8,8.3,3.8,0,6,3.4,1.9,6,10.2,1.7,13,4.5,4.7,3.4,0,1.9,2.1,9.6,4.3,5.5,0,0,0,4.3,7.4,12.2,4,2.4,2.9,0,5.1,6.6,1.6,11.8,7.4,6.6,1.6,1.6,1.6,3.5,9.4,4.6,5.4,0
36.42399999999901,-96,7,131470957.5,1518,32,12780,,,91.3,0,8.7,57149,61,78,33,1342,74,89,37,124600,34,73,31,72.1,10.1,6.1,2.1,9.7,13.6,39.7,25.1,0,18.5,0,0,3.2,8.6,30,33.7,12.7,6.5,5.7,2.9,0,2.7,67.7,0,20.4,0,0,0,11.9,45.1,54.9,45.2,45.5,0,6.4,7.3,1.2,8.6,1.9,2,3.7,1.9,4.2,3.8,8,11,9.2,6.4,3.5,5,0,6.3,3.5,1.9,0,4.1,0,0,0,3.1,12.6,21.2,0,0,1.8,2.9,2.4,3,10.7,15.3,6.2,3.5,0,0,10,1.3,1.1,1.7,3.2
36.581999999998644,-96,15,41841269.9,1632,95,12780,,,77.7,4,18.2,51116,52,69,25,720,32,59,28,79500,14,38,17,65.3,0.3,14.2,17.5,2.6,6.3,43.5,28.3,9,10.8,0,2.1,0,9.4,40.7,27.1,7.9,11.8,1.5,0,1.5,9.7,78.1,0,18.9,0,0,0,3,48.7,51.3,38.6,41,0,0,11.9,5.3,5.7,8.7,1.6,1.4,6.8,6.4,4.8,10.4,1.4,6.9,3.9,3.9,2.6,3.3,0.6,4.9,2.3,1,6.2,1.7,0.4,4.3,7,13.7,0.7,0.6,0.6,7.2,4.5,8.7,14.2,3.9,3.8,3.6,7.3,5.7,3.5,1.9,5.4,1,0.2,0
36.641999999998504,-96,9,65849201.3,1016,53,12780,,,92.4,1,6.6,50208,50,67,24,950,54,80,34,152800,44,84,38,53.9,2.1,4.3,37.8,1.9,21.1,29.1,9.6,2.5,23.6,7.3,3.9,3,13.6,25.6,19.6,9.5,18.3,3.5,1.8,8,3.5,84.2,0,5.2,0,0,2.4,8.3,53.7,46.3,50.2,48.8,1.8,0,2.9,6,7.7,0,1.5,0,2.4,5.1,10.3,2.4,9.7,14.8,5.7,4,2.4,1.3,4.9,6,5.1,4.2,1.6,0,0,1.1,1.9,9.4,0,3,0,0,1.5,5.5,6.4,26.2,2.6,11.5,0,2.3,1.9,6.2,10.9,5.1,0,4.7
36.713999999998336,-96,32,4494873.9,1451,49,12780,,,96.6,0.8,2.7,32875,21,29,11,792,40,68,32,43800,3,6,4,31.8,7.1,35.6,18.9,6.7,13,58.8,20.6,5.8,1.7,0,0,0,21.3,47.6,16.1,9.2,4.4,1.4,0,0,2.1,66.9,11,19.3,0,0,0,2.8,51.8,48.2,18.7,38.7,0,0,11.9,6.9,15.7,6.9,11.6,1.1,1.3,3.9,15.3,4,4.7,0,5.9,0,4.3,0.9,1.6,2,2.1,0,0,0.6,0,0.9,7.6,11.1,3.7,0,5,3.3,4.6,16.1,6,5.4,4.6,13.3,3.9,2.6,0,0,4,0.9,2.1,4.4
36.73799999999828,-96,30,2897563.4,750,42,12780,,,80.7,15.3,4,23370,8,9,4,653,24,47,22,25400,1,1,1,27,3.7,13.1,49.7,6.5,26.9,44.3,23.3,3.2,0,2.3,0,0,33.3,22.3,24.2,6.2,13.9,0,0,0,0,64.3,11.6,10.7,0,0,0.3,13.2,45.9,54.1,54.4,44.3,3.2,0,2.3,1.7,0,2.9,0,0,10.2,3.2,1.5,5.5,3.2,26.7,17.4,0,4.1,0,4.9,0,11.3,0,1.7,0,0,5.7,13.8,2,0.7,8.9,1.7,8.4,0.5,1.5,9.6,14.3,11.6,9.9,0,2.2,0,5.2,4.2,0,0,0
36.76799999999821,-96,37,1621526.8,784,32,12780,,,97,0.7,2.3,37262,28,40,16,629,21,42,19,63200,7,20,8,50,5.4,28,12.7,3.8,9,46.7,7.1,23.1,14.2,0,0,0,6.2,43.3,33.8,4.9,8.9,3,0,0,1.8,85.5,9.9,2.4,0,0,0,2.2,45.8,54.2,28.9,41.3,0,5.6,4.7,6.7,10.3,12,0,1.7,12.3,7,0,6.4,4.2,3.3,15.3,3.1,0,3.9,1.7,1.9,0,0,0,0,0,6.6,3.5,9.4,8.7,0,0,9.9,5.9,4.9,10.8,10.1,7.1,6.4,3.3,2.8,2.4,1.6,1.9,2.4,2.4,0
36.774999999998194,-96,51,1104152.6,1102,43,12780,,,96.1,1.3,2.6,25673,11,13,6,460,6,10,3,66700,8,24,10,37.7,15.6,26.8,19.9,0,24,43.7,21.7,2,8.7,0,0,0,20.2,29.2,43.8,2.5,4.3,0,0,0,14.5,74.6,1.1,5.8,0,0,4,14.5,52.9,47.1,20.8,30.5,2.2,2.4,7.5,26.6,11,0,3.1,3.6,5.5,2.6,0.9,13.9,5.5,2.9,0.7,0,2.9,0,4.1,2.6,2.1,0,0,1.7,0,10.2,11.2,9.4,0,0,5.4,6.7,15.6,3.9,2.7,4.6,9.2,5.2,0,3.7,1.9,1.5,4,0,2.9,0
36.786999999998166,-96,5,139053742,1083,32,12780,,,89.2,4.3,6.5,49327,49,66,23,684,28,53,25,171900,51,89,39,62.5,11.2,3.3,21.5,1.5,17.3,41.7,14.8,11.7,12.7,0,0,1.9,4.8,41.8,19.2,7.6,26.6,0,0,0,3.7,88,0,9.9,0,0,0,2.1,59.9,40.1,50.7,50.7,0,0,2.3,1.8,2.8,15.6,0,3.5,2.5,4.9,0,14.3,0,16,10.6,8.9,2.2,3.9,0,2.3,2.8,2.9,2.6,0,0,2.1,0,4.4,0,2.5,0,12.9,0,11.8,6.9,7.1,32.3,8.5,0,0,0,0,3,4.1,4.4,0
36.858999999998,-96,4,268292047.5,1363,74,17700,,,85.4,0,14.6,46000,43,60,22,588,17,33,15,116300,30,68,27,65.6,5.2,4,23.5,1.7,5.5,51.7,13.2,6.5,15.1,1.2,5.3,1.4,10.1,53.1,12.5,3.8,20.5,0,0,0,0,85.5,0,13.1,0,0,0,1.5,48.9,51.1,48.8,45.4,0,3.9,1.8,8.4,0.7,5.1,3.3,3.1,2.4,4.2,3,7.3,8.4,12.6,14.1,1,4,3.7,5.5,5.1,0.4,1.6,0,0,0,5.9,0,12.6,4.5,4,0.7,1.7,6.3,1.9,10.8,7.5,9.3,11.2,5.5,2.3,3.6,0.4,5,3.2,1.9,1.7
36.99999999999767,-96,2,220201517.2,377,57,17700,,,63.4,0.8,35.9,30375,17,14,1,883,49,71,5,23900,1,2,1,36.8,7,12.4,43.2,0.5,23.3,40.3,31,0,5.4,0,0,0,17.7,32.7,31.3,12.2,6.1,0,0,0,0,91.5,1.9,5,0,0,0,1.6,50.9,49.1,46.6,57.6,0,0,16.1,2.6,4.2,0,9.9,0,1.6,8.3,3.6,1,4.2,4.7,7.3,2.6,8.3,1,2.6,3.6,17.2,1,0,0,0,5.9,11.4,3.2,0,0,0,4.3,1.6,5.4,7,5.9,3.2,3.2,3.2,8.1,6.5,5.4,3.2,7.6,9.7,4.9
37.17999999999725,-96,1,942970290,456,38,49060,,,72.9,0.5,26.6,51500,52,58,6,91900,20,45,6,92,99,6,78.6,3.6,0,17.9,0,0,28.1,52.8,10.1,2.8,2.2,3.9,0,8.6,18.5,29.8,29.1,5.3,8.6,0,0,0,96.5,0,2.2,0,0,0,1.3,61.4,38.6,39.7,50.4,0,0,10.7,5,5.4,5.4,0,10,3.9,1.4,9.3,5.7,9.6,4.6,10.4,0,3.2,0.7,7.5,3.6,1.8,1.8,0,0,0,4,4.5,0,0,4,1.7,0,6.3,0,19.9,5.7,11.4,7.4,2.8,3.4,3.4,10.8,5.7,6.3,1.7,1.1
37.29999999999697,-96,3,218032783.3,665,83,17700,,,64.8,0,35.2,31313,18,15,3,656,24,43,5,44600,3,6,2,59.3,3.2,20.8,16.7,0,16.7,31,28,7.1,11.9,3,2.4,0,17,18.9,45.3,4.7,9.9,4.2,0,0,7.2,90.8,0,0,0.3,0,0,8.9,51.1,48.9,22.5,38.1,0,0,12.9,13.5,10,7.4,5.6,1.2,2.4,4.7,7.6,6.8,5.6,2.4,3.5,0.6,2.1,1.5,1.8,5.6,0.6,2.1,2.4,0,0,3.4,9.2,11.7,8.3,0.6,1.5,4.6,6.8,9.5,8.3,4.9,4.9,2.8,1.2,3.7,1.8,4,7.4,3.1,0.9,1.2
37.44499999999663,-96,1,687630633.1,475,54,79.9,0,20.1,40417,33,34,4,389,4,5,2,110200,28,54,5,69.3,1.6,2.4,24.7,2,3.4,50,23.8,2.9,11.7,8.3,0,0,3.4,41.8,16.8,13.9,14.4,9.6,0,0,2.3,98.7,0,0.2,0,0,0,1.1,47.6,52.4,59.3,52.8,0,0,0,0,0.4,8.4,0,0,10.2,0,0,8,2.7,10.2,13.3,11.5,4.4,12.4,9.3,9.3,0,0,0,0,0,11.6,0.8,0,0,0,4,8.4,0,0,0,7.2,20.9,19.3,3.2,3.2,0,14.9,1.2,2.4,0,2.8
37.60499999999626,-96,2,538199385.8,669,88,74.2,0,25.8,50882,51,57,9,387,3,5,4,47800,3,9,5,71.9,0.3,2.1,25.7,0,17.5,58.6,16,0,4.5,3.4,0,0,13.7,55.5,14.5,3.5,12.1,0.8,0,0,0,96.1,0.1,0,0,0,0,3.7,46.8,53.2,51.6,49.5,4.8,0,2.6,0,3.5,0,1,2.6,1,11.8,1.6,1.6,16.9,12.1,11.5,11.2,0,1,2.2,9.6,3.2,1.6,0.3,0,0,6.7,14.9,0,5.3,1.1,0,4.8,6.2,1.7,3.1,8.4,7,11.5,5.3,0.8,1.4,4.2,11.2,3.4,2,0.8
