investor,id_funding,name,sector,industry,subindustry,zip,amount,date
K2 Media,76229,Company 546695,Internet,eCommerce,Discount,10011,1,4/7/2011
First Round Capital,86674,Company 618243,Internet,Internet Software & Services,Legal,11215,0.65,11/15/2011
Kleiner Perkins Caufield & Byers,96880,Company 530219,Mobile & Telecommunications,Mobile Software & Services,Health & Wellness,10001,1,4/7/2011
First Round Capital,75384,Company 508678,Internet,eCommerce,Apparel & Accessories,10003,1.4,10/20/2010
Accelerator Ventures,89498,Company 635979,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1,11/16/2011
Forerunner Ventures,75384,Company 508675,Internet,eCommerce,Apparel & Accessories,10003,1.4,10/20/2010
Blumberg Capital,89498,Company 635971,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1,11/16/2011
Bullet Time Ventures,74907,Company 541185,Internet,Stealth Mode,,10010,3,4/18/2011
Harrison Metal,75384,Company 508676,Internet,eCommerce,Apparel & Accessories,10003,1.4,10/20/2010
Contour Venture Partners,74907,Company 541185,Internet,Stealth Mode,,10010,3,4/18/2011
Bullpen Capital,89498,Company 635973,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1,11/16/2011
New York Angels,77071,Company 496487,Internet,Internet Software & Services,Video,10002,0.4,10/21/2010
SV Angel,92556,Company 746364,Internet,Internet Software & Services,Email,10003,0.96,11/21/2011
Metamorphic Ventures,89498,Company 635976,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1,11/16/2011
Lerer Ventures,115841,Company 515363,Internet,Internet Software & Services,Social,10001,0.75,10/23/2010
Thrive Capital,92556,Company 746368,Internet,Internet Software & Services,Email,10003,0.96,11/21/2011
T5 Equity Partners,89498,Company 635973,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,10014,1,11/16/2011
Founders Co-op,96342,Company 764707,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,Undisclosed,Undisclosed,4/11/2012
Zelkova Ventures,92556,Company 746362,Internet,Internet Software & Services,Email,10003,0.96,11/21/2011
New York Angels,92268,Company 745246,,,,Undisclosed,0.05,11/18/2011
Collaborative Fund,96946,Company 767326,Internet,Stealth Mode,,10010,1.2,4/19/2012
First Round Capital,94865,Company 757194,Internet,Internet Software & Services,Collaboration & Project Management,10022,1.5,11/21/2011
Tribeca Venture Partners,108793,Company 768156,Internet,Internet Software & Services,Video,10018,1.74,11/18/2011
Google Ventures,96946,Company 767324,Internet,Stealth Mode,,10010,1.2,4/19/2012
High Peaks Venture Partners,94865,Company 757196,Internet,Internet Software & Services,Collaboration & Project Management,10022,1.5,11/21/2011
ff Venture Capital,118839,Company 516982,Internet,Internet Software & Services,"Business Intelligence, Analytics & Performance Mgmt",10018,Undisclosed,11/18/2011
NextView Ventures,96946,Company 767327,Internet,Stealth Mode,,10010,1.2,4/19/2012
Lerer Ventures,94865,Company 757196,Internet,Internet Software & Services,Collaboration & Project Management,10022,1.5,11/21/2011
Lerer Ventures,92556,Company 746361,Internet,Internet Software & Services,Email,10003,0.96,11/21/2011
Red Swan Ventures,96946,Company 767326,Internet,Stealth Mode,,10010,1.2,4/19/2012
Robin Hood Ventures,93012,Company 612609,Internet,Internet Software & Services,Green/Environmental,10018,Undisclosed,12/5/2011
SoftTech VC,96946,Company 767320,Internet,Stealth Mode,,10010,1.2,4/19/2012
Bain Capital Ventures,104775,Company 73593,Internet,Internet Software & Services,Video,10012,3,7/30/2012
